id,date,lat,lon,depth,mag,location
af10c687-0ab8-467d-9bc2-eb16966aa8f4,2026-08-19T23:04:59,40.7792,29.0903,13.6,1.6,ADALAR (ISTANBUL)
45b4cc48-c14f-4ec6-a9c0-2f8526e643e1,2026-08-19T23:07:32,40.7557,29.1173,11.8,1.6,KORU-CINARCIK (YALOVA)
5fe80cf6-5cf4-4484-9709-ea33f1814043,2026-08-19T23:12:32,40.75,29.0765,11.6,1.1,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
176ef823-c524-4081-a66e-78c13245040d,2026-08-19T23:39:11,40.7817,29.0818,9,0.9,ADALAR (ISTANBUL)
c1713dd1-1211-47f3-a6cd-14a124bf0b2e,2026-08-19T23:42:11,40.7708,29.1112,7.6,1.5,ADALAR (ISTANBUL)
9c1d035e-97b6-4aed-b0ad-784930ab0d7c,2026-08-19T23:45:15,40.7792,29.0863,8,1.2,ADALAR (ISTANBUL)
b00deb52-5961-4765-8f5d-24e7246d2eea,2026-08-20T00:41:45,40.7758,29.0888,12.2,2.9,ADALAR (ISTANBUL)
8fe6f4b5-cbdb-470b-9085-a8f56dd451cf,2026-08-20T00:43:45,40.7767,29.1027,10.1,1.8,ADALAR (ISTANBUL)
ebb2c393-b461-4f04-a5d4-5bfb32912b9a,2026-08-20T01:08:10,40.7925,29.1162,12,1.2,ADALAR (ISTANBUL)
83e935fa-fbba-4435-b2f4-6a05a31ea1f9,2026-08-20T01:11:55,40.7927,29.0888,12.1,1.7,ADALAR (ISTANBUL)
1c747b15-c9db-4a91-ad75-5a0838eb01b5,2026-08-20T01:12:27,40.7773,29.1005,7.8,1.7,ADALAR (ISTANBUL)
f9a3ff4e-610d-45fd-b23d-69f8db246ba2,2026-08-20T01:18:46,40.78,29.1663,4.4,1,YALOVA ACIKLARI (MARMARA DENIZI)
1521608f-6126-4343-8cd0-a04b6098f3af,2026-08-20T01:23:00,40.7767,29.0952,9.2,1.6,ADALAR (ISTANBUL)
59b79d04-c32c-4ae0-978d-1d6c56f71f95,2026-08-20T01:28:24,40.7863,29.0845,9.1,1.5,ADALAR (ISTANBUL)
deb7bf65-2710-42d9-a8ad-d67587caa210,2026-08-20T01:32:23,40.7728,29.1068,8.5,1.7,ADALAR (ISTANBUL)
79c0e242-0163-4ae9-b51d-484caee7cc28,2026-08-20T01:32:47,40.7797,29.1005,7.3,1.8,ADALAR (ISTANBUL)
f2959d55-1767-4ff3-bd02-a83d02119957,2026-08-20T01:44:35,40.7728,29.0655,4.5,1.4,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
a084126a-be1b-4f9f-87dd-a2e83580f2af,2026-08-20T01:58:21,40.7813,29.0905,8.7,2.5,ADALAR (ISTANBUL)
f90923d2-62a2-4bc0-a4a3-d4bfb0401461,2026-08-20T02:18:29,40.777,29.0922,10.3,1.4,ADALAR (ISTANBUL)
b012358c-5eec-41c4-8030-9418622d9833,2026-08-20T02:31:41,40.7842,29.0872,10.9,1.8,ADALAR (ISTANBUL)
62e02aeb-22c3-44f5-b53a-aed7978c217a,2026-08-20T02:36:12,40.7782,29.0933,10.6,2,ADALAR (ISTANBUL)
58a40d17-2d9b-4a87-9eec-57488b10a6a4,2026-08-20T02:37:21,40.76,29.1052,12.1,1.5,CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI)
35afe328-dc3e-4302-a60c-15bb603bda52,2026-08-20T02:45:37,40.7853,29.076,8.8,1.1,ADALAR (ISTANBUL)
10aee0cf-3665-4464-919a-7ee6015fcea0,2026-08-20T02:53:31,40.763,29.1117,4.5,1.1,ADALAR (ISTANBUL)
e8c18cd1-76d6-485b-b30d-92d6e430c48c,2026-08-20T02:38:36,40.793,29.0998,10,1.4,ADALAR (ISTANBUL)
